,Muscle,Visceral,Subcutaneous,Background
Jaccard score,0.8723563473016913,0.7551836124701352,0.9006447931675801,0.9643686977107013
Dice score,0.9316516312842704,0.8601293133115208,0.9475607688181868,0.9818549667239944
TPF,0.9475668782493527,0.8517747089594719,0.9452382874733215,0.9811916125262757
FPF,0.007176599837895758,0.00819116447837998,0.004448311474569589,0.062085766819206606
